"Date","Month","Year","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-01-01,1,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-02,1,2017,15,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-03,1,2017,15,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-04,1,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-05,1,2017,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-06,1,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-07,1,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-08,1,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-09,1,2017,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-10,1,2017,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-11,1,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-12,1,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-13,1,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-14,1,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-15,1,2017,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-16,1,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-17,1,2017,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-18,1,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-19,1,2017,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-20,1,2017,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-21,1,2017,8,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-22,1,2017,16,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-23,1,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-24,1,2017,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-25,1,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-27,1,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-28,1,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-29,1,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-30,1,2017,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-01-31,1,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-01,2,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-02,2,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-03,2,2017,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-04,2,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-05,2,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-06,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-07,2,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-08,2,2017,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-09,2,2017,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-10,2,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-11,2,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-12,2,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-13,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-14,2,2017,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-15,2,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-16,2,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-17,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-18,2,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-19,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-20,2,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-21,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-22,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-23,2,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-24,2,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-25,2,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-26,2,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-27,2,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-02-28,2,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-02,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-03,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-04,3,2017,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-05,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-06,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-07,3,2017,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-08,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-09,3,2017,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-10,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-11,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-12,3,2017,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-13,3,2017,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-14,3,2017,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-15,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-16,3,2017,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-17,3,2017,51,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-18,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-19,3,2017,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-20,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-21,3,2017,54,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-22,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-23,3,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-24,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-25,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-26,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-27,3,2017,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-28,3,2017,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-29,3,2017,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-30,3,2017,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-31,3,2017,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
